"product_name","stock_quantity","total_sold"
"Mouse Pad",100,"17"
"Mouse B",25,"44"
"Book J",35,"45"
"Book H",50,"50"
"Headphones",30,"51"
"Desk Lamp B",10,"62"
"Headphones B",15,"65"
"Keyboard",25,"65"
"Backpack B",20,"67"
"Book C",55,"73"
"Notebook",200,"76"
"Water Bottle B",50,"77"
"Highlighter",250,"81"
"Book R",15,"81"
"Stapler",70,"82"
"Pen",500,"83"
"Book G",45,"85"
"Desk Lamp",15,"91"
"Book K",30,"93"
"Notebook D",140,"95"
"Pen Set B",100,"97"
"Marker B",130,"102"
"Book A",50,"106"
"Book B",60,"109"
"Notebook B",180,"111"
"Mouse",35,"111"
"Book I",40,"116"
"Charger",40,"116"
"Pencil B",180,"120"
"Book E",50,"124"
"USB Cable B",50,"124"
"Notebook C",150,"125"
"Pencil",400,"125"
"Book O",20,"126"
"Book F",40,"130"
"Water Bottle",60,"131"
"Book S",10,"133"
"Pen C",200,"134"
"USB Cable",60,"136"
"Book P",25,"136"
"Book Q",20,"145"
"Marker",150,"148"
"Book N",15,"149"
"Charger B",20,"151"
"Earphones",20,"153"
"Backpack",25,"156"
"Book D",45,"162"
"Book M",20,"183"
"Book L",25,"193"
"Pen Set",120,"236"
